Unnamed: 0,Selection ID,Best Back Price,Best Back Size,Best Lay Price,Best Lay Size,Last Price Traded,Total Matched,Status,Removal Date,Adjustment Factor,time_delta,back_probability,lay_probability,back_look_back_probs,lay_look_back_probs,lay_back_average,ema_back_one,ema_back_two,ema_lay_one,ema_lay_two,macd_back,macd_lay
6,42236681,6.2,19.45,14.5,9.8,,0.0,ACTIVE,,,1710,0.16129032258064516,0.06896551724137931,,,,0.16129032258064516,0.16129032258064516,0.06896551724137931,0.06896551724137931,0.0,0.0
6,42236681,6.2,19.45,14.5,9.8,,0.0,ACTIVE,,,1705,0.16129032258064516,0.06896551724137931,,,,0.16129032258064516,0.16129032258064516,0.06896551724137931,0.06896551724137931,0.0,0.0
6,42236681,6.2,19.45,14.5,9.8,,0.0,ACTIVE,,,1700,0.16129032258064516,0.06896551724137931,,,,0.16129032258064516,0.16129032258064516,0.06896551724137931,0.06896551724137931,0.0,0.0
6,42236681,6.2,19.45,14.5,9.67,,0.0,ACTIVE,,,1695,0.16129032258064516,0.06896551724137931,,,,0.16129032258064516,0.16129032258064516,0.06896551724137931,0.06896551724137931,0.0,0.0
6,42236681,6.2,19.45,14.5,9.67,,0.0,ACTIVE,,,1690,0.16129032258064516,0.06896551724137931,,,,0.16129032258064516,0.16129032258064516,0.06896551724137931,0.06896551724137931,0.0,0.0
6,42236681,6.2,19.45,14.5,9.67,,0.0,ACTIVE,,,1685,0.16129032258064516,0.06896551724137931,0.16129032258064516,0.06896551724137931,0.11512791991101223,0.16129032258064516,0.16129032258064516,0.06896551724137931,0.06896551724137931,0.0,0.0
6,42236681,6.2,19.45,14.5,9.67,,0.0,ACTIVE,,,1680,0.16129032258064516,0.06896551724137931,0.16129032258064516,0.06896551724137932,0.11512791991101223,0.16129032258064516,0.16129032258064516,0.06896551724137931,0.06896551724137931,0.0,0.0
6,42236681,6.2,19.44,14.5,9.67,,0.0,ACTIVE,,,1675,0.16129032258064516,0.06896551724137931,0.16129032258064516,0.06896551724137931,0.11512791991101223,0.16129032258064516,0.16129032258064516,0.06896551724137931,0.06896551724137931,0.0,0.0
6,42236681,6.2,19.44,14.5,9.67,,0.0,ACTIVE,,,1670,0.16129032258064516,0.06896551724137931,0.16129032258064516,0.06896551724137932,0.11512791991101223,0.16129032258064516,0.16129032258064516,0.06896551724137931,0.06896551724137931,0.0,0.0
6,42236681,6.2,19.44,14.5,9.67,,0.0,ACTIVE,,,1665,0.16129032258064516,0.06896551724137931,0.16129032258064516,0.06896551724137931,0.11512791991101223,0.16129032258064516,0.16129032258064516,0.06896551724137931,0.06896551724137931,0.0,0.0
6,42236681,6.2,19.44,14.5,9.67,,0.0,ACTIVE,,,1660,0.16129032258064516,0.06896551724137931,0.16129032258064516,0.06896551724137932,0.11512791991101223,0.16129032258064516,0.16129032258064516,0.06896551724137931,0.06896551724137931,0.0,0.0
6,42236681,6.2,19.44,14.5,9.67,,0.0,ACTIVE,,,1655,0.16129032258064516,0.06896551724137931,0.16129032258064516,0.06896551724137931,0.11512791991101223,0.16129032258064516,0.16129032258064516,0.06896551724137931,0.06896551724137931,0.0,0.0
6,42236681,6.2,19.44,14.5,9.8,,0.0,ACTIVE,,,1650,0.16129032258064516,0.06896551724137931,0.16129032258064516,0.06896551724137932,0.11512791991101223,0.16129032258064516,0.16129032258064516,0.06896551724137931,0.06896551724137931,0.0,0.0
6,42236681,6.2,19.44,14.5,9.8,,0.0,ACTIVE,,,1645,0.16129032258064516,0.06896551724137931,0.16129032258064516,0.06896551724137931,0.11512791991101223,0.16129032258064516,0.16129032258064516,0.06896551724137931,0.06896551724137931,0.0,0.0
