,Selection ID,Best Back Price,Best Back Size,Best Lay Price,Best Lay Size,Last Price Traded,Total Matched,Status,Removal Date,Adjustment Factor
3,40373068,7.6,7.79,9.8,6.28,8.0,15.7,ACTIVE,,10.0
4,46969789,9.8,10.55,14.5,53.38,12.0,9.09,ACTIVE,,4.762
5,46969790,100.0,14.75,430.0,8.15,,0.0,ACTIVE,,0.521
6,46969791,5.4,8.41,7.0,25.12,,0.0,ACTIVE,,15.723
7,46969792,44.0,8.29,120.0,8.31,,0.0,ACTIVE,,1.136
8,46969793,8.2,6.0,11.5,8.66,,0.0,ACTIVE,,9.869
9,46969794,48.0,9.74,210.0,5.06,,0.0,ACTIVE,,0.935
0,42363246,6.8,9.74,10.5,5.65,,0.0,ACTIVE,,13.055
1,46969787,90.0,6.42,180.0,8.13,,0.0,ACTIVE,,0.521
2,46969788,2.5,5.23,2.64,7.97,2.66,302.6,ACTIVE,,43.478
3,40373068,7.6,7.79,9.8,6.28,8.0,15.7,ACTIVE,,10.0
4,46969789,9.8,10.55,14.5,53.38,12.0,9.09,ACTIVE,,4.762
5,46969790,100.0,14.75,430.0,8.15,,0.0,ACTIVE,,0.521
6,46969791,5.4,8.41,7.0,25.12,,0.0,ACTIVE,,15.723
7,46969792,44.0,8.29,120.0,8.31,,0.0,ACTIVE,,1.136
8,46969793,8.2,6.0,11.5,8.66,,0.0,ACTIVE,,9.869
9,46969794,48.0,9.74,210.0,5.06,,0.0,ACTIVE,,0.935
0,42363246,6.8,9.74,10.5,5.65,,0.0,ACTIVE,,13.055
1,46969787,90.0,6.42,180.0,8.13,,0.0,ACTIVE,,0.521
2,46969788,2.5,5.23,2.64,7.97,2.66,302.6,ACTIVE,,43.478
3,40373068,7.6,7.79,9.8,6.28,8.0,15.7,ACTIVE,,10.0
4,46969789,9.8,10.55,14.5,53.38,12.0,9.09,ACTIVE,,4.762
5,46969790,100.0,14.75,430.0,8.15,,0.0,ACTIVE,,0.521
6,46969791,5.4,8.41,7.0,25.12,,0.0,ACTIVE,,15.723
7,46969792,44.0,8.29,120.0,8.31,,0.0,ACTIVE,,1.136
8,46969793,8.2,6.0,11.5,8.66,,0.0,ACTIVE,,9.869
9,46969794,48.0,9.74,210.0,5.06,,0.0,ACTIVE,,0.935
0,42363246,6.8,9.74,10.5,5.65,,0.0,ACTIVE,,13.055
1,46969787,90.0,6.42,180.0,8.13,,0.0,ACTIVE,,0.521
2,46969788,2.5,5.23,2.64,7.97,2.66,302.6,ACTIVE,,43.478
3,40373068,7.6,7.79,9.8,6.28,8.0,15.7,ACTIVE,,10.0
4,46969789,9.8,10.55,14.5,53.38,12.0,9.09,ACTIVE,,4.762
5,46969790,100.0,14.75,430.0,8.15,,0.0,ACTIVE,,0.521
6,46969791,5.4,8.41,7.0,25.12,,0.0,ACTIVE,,15.723
7,46969792,44.0,8.29,120.0,8.31,,0.0,ACTIVE,,1.136
8,46969793,8.2,6.0,11.5,8.66,,0.0,ACTIVE,,9.869
9,46969794,48.0,9.74,210.0,5.06,,0.0,ACTIVE,,0.935
0,42363246,6.8,9.74,10.5,5.65,,0.0,ACTIVE,,13.055
1,46969787,90.0,6.42,180.0,8.13,,0.0,ACTIVE,,0.521
2,46969788,2.5,5.23,2.64,7.97,2.66,302.6,ACTIVE,,43.478
3,40373068,7.6,7.79,9.8,6.28,8.0,15.7,ACTIVE,,10.0
4,46969789,9.8,10.55,14.5,53.38,12.0,9.09,ACTIVE,,4.762
5,46969790,100.0,14.75,430.0,8.15,,0.0,ACTIVE,,0.521
6,46969791,5.4,8.41,7.0,25.12,,0.0,ACTIVE,,15.723
7,46969792,44.0,8.29,120.0,8.31,,0.0,ACTIVE,,1.136
8,46969793,8.2,6.0,11.5,8.66,,0.0,ACTIVE,,9.869
9,46969794,48.0,9.74,210.0,5.06,,0.0,ACTIVE,,0.935
0,42363246,6.8,9.74,10.5,5.65,,0.0,ACTIVE,,13.055
1,46969787,90.0,6.42,180.0,8.13,,0.0,ACTIVE,,0.521
2,46969788,2.5,5.23,2.64,7.97,2.66,302.6,ACTIVE,,43.478
3,40373068,7.6,7.79,9.8,6.28,8.0,15.7,ACTIVE,,10.0
4,46969789,9.8,10.55,14.5,53.38,12.0,9.09,ACTIVE,,4.762
5,46969790,100.0,14.75,430.0,8.15,,0.0,ACTIVE,,0.521
6,46969791,5.4,8.41,7.0,25.12,,0.0,ACTIVE,,15.723
7,46969792,44.0,8.29,120.0,8.31,,0.0,ACTIVE,,1.136
8,46969793,8.2,6.0,11.5,8.66,,0.0,ACTIVE,,9.869
9,46969794,48.0,9.74,210.0,5.06,,0.0,ACTIVE,,0.935
0,42363246,6.8,9.74,10.5,5.65,,0.0,ACTIVE,,13.055
1,46969787,90.0,6.42,180.0,8.13,,0.0,ACTIVE,,0.521
2,46969788,2.5,5.23,2.64,7.97,2.66,302.6,ACTIVE,,43.478
3,40373068,7.6,7.79,9.8,6.28,8.0,15.7,ACTIVE,,10.0
4,46969789,9.8,10.55,14.5,53.38,12.0,9.09,ACTIVE,,4.762
5,46969790,100.0,14.75,430.0,8.15,,0.0,ACTIVE,,0.521
6,46969791,5.4,8.41,7.0,25.12,,0.0,ACTIVE,,15.723
7,46969792,44.0,8.29,120.0,8.31,,0.0,ACTIVE,,1.136
8,46969793,8.2,6.0,11.5,8.66,,0.0,ACTIVE,,9.869
9,46969794,48.0,9.74,210.0,5.06,,0.0,ACTIVE,,0.935
0,42363246,6.8,9.74,10.5,5.65,,0.0,ACTIVE,,13.055
1,46969787,90.0,6.42,180.0,8.13,,0.0,ACTIVE,,0.521
2,46969788,2.52,6.48,2.64,7.97,2.66,302.6,ACTIVE,,43.478
3,40373068,7.6,7.79,9.8,6.28,8.0,15.7,ACTIVE,,10.0
4,46969789,9.8,10.55,14.5,53.38,12.0,9.09,ACTIVE,,4.762
5,46969790,100.0,14.75,430.0,8.15,,0.0,ACTIVE,,0.521
6,46969791,5.4,8.41,7.0,25.12,,0.0,ACTIVE,,15.723
7,46969792,44.0,8.29,120.0,8.31,,0.0,ACTIVE,,1.136
8,46969793,8.2,6.0,11.5,8.66,,0.0,ACTIVE,,9.869
9,46969794,48.0,9.74,210.0,5.06,,0.0,ACTIVE,,0.935
0,42363246,6.8,9.74,10.5,5.65,,0.0,ACTIVE,,13.055
1,46969787,90.0,6.42,180.0,8.13,,0.0,ACTIVE,,0.521
2,46969788,2.5,5.23,2.64,7.97,2.66,302.6,ACTIVE,,43.478
3,40373068,7.6,7.79,9.8,6.28,8.0,15.7,ACTIVE,,10.0
4,46969789,9.8,10.55,14.5,53.38,12.0,9.09,ACTIVE,,4.762
5,46969790,100.0,14.75,430.0,8.15,,0.0,ACTIVE,,0.521
6,46969791,5.4,8.41,7.0,25.12,,0.0,ACTIVE,,15.723
7,46969792,44.0,8.29,120.0,8.31,,0.0,ACTIVE,,1.136
8,46969793,8.2,6.0,11.5,8.66,,0.0,ACTIVE,,9.869
9,46969794,48.0,9.74,210.0,5.06,,0.0,ACTIVE,,0.935
0,42363246,6.8,9.74,10.5,5.65,,0.0,ACTIVE,,13.055
1,46969787,90.0,6.42,180.0,8.13,,0.0,ACTIVE,,0.521
2,46969788,2.5,5.23,2.64,7.97,2.66,302.6,ACTIVE,,43.478
3,40373068,7.6,7.79,9.8,6.28,8.0,15.7,ACTIVE,,10.0
4,46969789,9.8,10.55,14.5,53.38,12.0,9.09,ACTIVE,,4.762
5,46969790,100.0,14.75,430.0,8.15,,0.0,ACTIVE,,0.521
6,46969791,5.4,8.41,7.0,25.12,,0.0,ACTIVE,,15.723
7,46969792,44.0,8.29,120.0,8.31,,0.0,ACTIVE,,1.136
8,46969793,8.2,6.0,11.5,8.66,,0.0,ACTIVE,,9.869
9,46969794,48.0,9.74,210.0,5.06,,0.0,ACTIVE,,0.935
0,42363246,6.8,9.74,10.5,5.65,,0.0,ACTIVE,,13.055
1,46969787,90.0,6.42,180.0,8.13,,0.0,ACTIVE,,0.521
2,46969788,2.5,5.23,2.62,6.05,2.66,302.6,ACTIVE,,43.478
3,40373068,7.6,7.79,9.8,6.28,8.0,15.7,ACTIVE,,10.0
4,46969789,9.8,10.55,14.5,53.38,12.0,9.09,ACTIVE,,4.762
5,46969790,100.0,14.75,430.0,8.15,,0.0,ACTIVE,,0.521
6,46969791,5.4,8.41,7.0,25.12,,0.0,ACTIVE,,15.723
7,46969792,44.0,8.29,120.0,8.31,,0.0,ACTIVE,,1.136
8,46969793,8.2,6.0,11.5,8.66,,0.0,ACTIVE,,9.869
9,46969794,48.0,9.74,210.0,5.06,,0.0,ACTIVE,,0.935
0,42363246,6.8,9.74,10.5,5.65,,0.0,ACTIVE,,13.055
1,46969787,90.0,6.42,180.0,8.13,,0.0,ACTIVE,,0.521
2,46969788,2.5,5.23,2.62,7.99,2.66,302.6,ACTIVE,,43.478
3,40373068,7.6,7.79,9.8,6.28,8.0,15.7,ACTIVE,,10.0
4,46969789,9.8,10.55,14.5,53.38,12.0,9.09,ACTIVE,,4.762
5,46969790,100.0,14.75,430.0,8.15,,0.0,ACTIVE,,0.521
6,46969791,5.4,8.41,7.0,25.12,,0.0,ACTIVE,,15.723
7,46969792,44.0,8.29,120.0,8.31,,0.0,ACTIVE,,1.136
8,46969793,8.2,6.0,11.5,8.66,,0.0,ACTIVE,,9.869
9,46969794,48.0,9.74,210.0,5.06,,0.0,ACTIVE,,0.935
0,42363246,6.8,9.74,10.5,5.65,,0.0,ACTIVE,,13.055
1,46969787,90.0,6.42,180.0,8.13,,0.0,ACTIVE,,0.521
2,46969788,2.5,5.23,2.62,7.99,2.66,302.6,ACTIVE,,43.478
3,40373068,7.6,7.79,9.8,6.28,8.0,15.7,ACTIVE,,10.0
4,46969789,9.8,10.55,14.5,53.38,12.0,9.09,ACTIVE,,4.762
5,46969790,100.0,14.75,430.0,8.15,,0.0,ACTIVE,,0.521
6,46969791,5.4,8.41,7.0,25.12,,0.0,ACTIVE,,15.723
7,46969792,44.0,8.29,120.0,8.31,,0.0,ACTIVE,,1.136
8,46969793,8.2,6.0,11.5,8.66,,0.0,ACTIVE,,9.869
9,46969794,48.0,9.74,210.0,5.06,,0.0,ACTIVE,,0.935
0,42363246,6.8,9.74,10.5,5.65,,0.0,ACTIVE,,13.055
1,46969787,90.0,6.42,180.0,8.13,,0.0,ACTIVE,,0.521
2,46969788,2.5,5.23,2.62,7.99,2.66,302.6,ACTIVE,,43.478
3,40373068,7.6,7.79,9.8,6.28,8.0,15.7,ACTIVE,,10.0
4,46969789,9.8,10.55,14.5,53.38,12.0,9.09,ACTIVE,,4.762
5,46969790,100.0,14.75,430.0,8.15,,0.0,ACTIVE,,0.521
6,46969791,5.4,8.41,7.0,25.12,,0.0,ACTIVE,,15.723
7,46969792,44.0,8.29,120.0,8.31,,0.0,ACTIVE,,1.136
8,46969793,8.2,6.0,11.5,8.66,,0.0,ACTIVE,,9.869
9,46969794,48.0,9.74,210.0,5.06,,0.0,ACTIVE,,0.935
0,42363246,6.8,9.74,10.5,5.65,,0.0,ACTIVE,,13.055
1,46969787,90.0,6.42,180.0,8.13,,0.0,ACTIVE,,0.521
2,46969788,2.5,5.23,2.62,7.99,2.66,302.6,ACTIVE,,43.478
3,40373068,7.6,7.79,9.6,6.96,8.0,15.7,ACTIVE,,10.0
4,46969789,10.5,6.63,14.5,53.38,12.0,9.09,ACTIVE,,4.762
5,46969790,100.0,14.75,430.0,8.15,,0.0,ACTIVE,,0.521
6,46969791,5.4,8.41,6.8,8.29,,0.0,ACTIVE,,15.723
7,46969792,44.0,8.29,120.0,8.31,,0.0,ACTIVE,,1.136
8,46969793,8.2,6.0,11.0,7.32,,0.0,ACTIVE,,9.869
9,46969794,48.0,9.74,210.0,5.06,,0.0,ACTIVE,,0.935
0,42363246,6.8,10.24,10.5,5.04,,0.0,ACTIVE,,13.055
1,46969787,90.0,6.42,180.0,8.13,,0.0,ACTIVE,,0.521
2,46969788,2.5,5.23,2.62,7.99,2.66,302.6,ACTIVE,,43.478
3,40373068,7.6,7.79,9.6,6.96,8.0,15.7,ACTIVE,,10.0
4,46969789,10.5,6.63,14.5,51.05,12.0,9.09,ACTIVE,,4.762
5,46969790,100.0,14.75,430.0,8.15,,0.0,ACTIVE,,0.521
6,46969791,5.4,8.41,6.8,8.29,,0.0,ACTIVE,,15.723
7,46969792,44.0,8.29,120.0,8.31,,0.0,ACTIVE,,1.136
8,46969793,8.2,6.0,11.5,6.14,,0.0,ACTIVE,,9.869
9,46969794,48.0,9.74,210.0,5.06,,0.0,ACTIVE,,0.935
0,42363246,7.2,7.73,10.5,5.04,,0.0,ACTIVE,,13.055
1,46969787,90.0,6.42,180.0,8.13,,0.0,ACTIVE,,0.521
2,46969788,2.5,5.23,2.62,7.99,2.66,302.6,ACTIVE,,43.478
3,40373068,7.6,7.79,9.6,6.96,8.0,15.7,ACTIVE,,10.0
4,46969789,10.5,6.63,14.5,57.45,12.0,9.09,ACTIVE,,4.762
5,46969790,100.0,14.75,430.0,8.15,,0.0,ACTIVE,,0.521
6,46969791,5.4,8.41,6.8,8.29,,0.0,ACTIVE,,15.723
7,46969792,44.0,8.29,120.0,8.31,,0.0,ACTIVE,,1.136
8,46969793,8.2,6.0,11.5,6.14,,0.0,ACTIVE,,9.869
9,46969794,48.0,9.74,210.0,5.06,,0.0,ACTIVE,,0.935
0,42363246,7.2,7.73,10.5,5.04,,0.0,ACTIVE,,13.055
1,46969787,90.0,6.42,180.0,8.13,,0.0,ACTIVE,,0.521
2,46969788,2.5,5.23,2.62,7.99,2.66,302.6,ACTIVE,,43.478
3,40373068,7.6,7.79,9.6,6.96,8.0,15.7,ACTIVE,,10.0
4,46969789,10.5,6.63,14.5,57.45,12.0,9.09,ACTIVE,,4.762
5,46969790,100.0,14.75,430.0,8.15,,0.0,ACTIVE,,0.521
6,46969791,5.4,8.41,6.8,8.29,,0.0,ACTIVE,,15.723
7,46969792,44.0,8.29,120.0,8.31,,0.0,ACTIVE,,1.136
8,46969793,8.2,6.0,11.5,6.14,,0.0,ACTIVE,,9.869
9,46969794,48.0,9.74,210.0,5.06,,0.0,ACTIVE,,0.935
0,42363246,7.0,7.48,10.5,5.04,,0.0,ACTIVE,,13.055
1,46969787,90.0,6.42,180.0,8.13,,0.0,ACTIVE,,0.521
2,46969788,2.5,5.23,2.62,7.99,2.66,302.6,ACTIVE,,43.478
3,40373068,7.6,7.79,9.6,6.96,8.0,15.7,ACTIVE,,10.0
4,46969789,10.5,6.63,14.5,57.45,12.0,9.09,ACTIVE,,4.762
5,46969790,100.0,14.75,430.0,8.15,,0.0,ACTIVE,,0.521
6,46969791,5.4,8.41,6.8,8.29,,0.0,ACTIVE,,15.723
7,46969792,44.0,8.29,120.0,8.31,,0.0,ACTIVE,,1.136
8,46969793,8.2,6.0,11.5,6.14,,0.0,ACTIVE,,9.869
9,46969794,48.0,9.74,210.0,5.06,,0.0,ACTIVE,,0.935
0,42363246,7.0,7.48,10.5,5.04,,0.0,ACTIVE,,13.055
1,46969787,90.0,6.42,180.0,8.13,,0.0,ACTIVE,,0.521
2,46969788,2.5,5.23,2.62,7.99,2.66,302.6,ACTIVE,,43.478
3,40373068,7.6,7.79,9.6,6.96,8.0,15.7,ACTIVE,,10.0
4,46969789,10.5,6.63,14.0,7.45,12.0,9.09,ACTIVE,,4.762
5,46969790,100.0,14.75,430.0,8.15,,0.0,ACTIVE,,0.521
6,46969791,5.4,8.41,6.8,8.29,,0.0,ACTIVE,,15.723
7,46969792,44.0,8.29,120.0,8.31,,0.0,ACTIVE,,1.136
8,46969793,8.2,6.0,11.5,6.14,,0.0,ACTIVE,,9.869
9,46969794,48.0,9.74,210.0,5.06,,0.0,ACTIVE,,0.935
0,42363246,7.0,7.48,10.5,5.04,,0.0,ACTIVE,,13.055
1,46969787,90.0,6.42,180.0,8.13,,0.0,ACTIVE,,0.521
2,46969788,2.5,5.23,2.62,7.99,2.66,302.6,ACTIVE,,43.478
3,40373068,7.6,7.79,9.6,6.96,8.0,15.7,ACTIVE,,10.0
4,46969789,10.5,6.63,14.0,7.45,12.0,9.09,ACTIVE,,4.762
5,46969790,100.0,14.75,430.0,8.15,,0.0,ACTIVE,,0.521
6,46969791,5.2,6.57,6.8,8.29,5.4,95.98,ACTIVE,,15.723
7,46969792,44.0,8.29,120.0,8.31,,0.0,ACTIVE,,1.136
8,46969793,8.2,6.0,11.5,6.14,,0.0,ACTIVE,,9.869
9,46969794,48.0,9.74,210.0,5.06,,0.0,ACTIVE,,0.935
0,42363246,7.0,7.48,10.5,5.04,,0.0,ACTIVE,,13.055
1,46969787,90.0,6.42,180.0,8.13,,0.0,ACTIVE,,0.521
2,46969788,2.5,5.23,2.62,7.99,2.66,302.6,ACTIVE,,43.478
3,40373068,7.6,7.79,9.6,6.96,8.0,15.7,ACTIVE,,10.0
4,46969789,10.5,6.63,14.0,7.45,12.0,9.09,ACTIVE,,4.762
5,46969790,100.0,14.75,430.0,8.15,,0.0,ACTIVE,,0.521
6,46969791,5.1,14.16,6.8,8.74,5.4,95.98,ACTIVE,,15.723
7,46969792,44.0,8.29,120.0,8.31,,0.0,ACTIVE,,1.136
8,46969793,8.2,6.0,11.5,6.14,,0.0,ACTIVE,,9.869
9,46969794,48.0,9.74,210.0,5.06,,0.0,ACTIVE,,0.935
0,42363246,7.0,7.48,10.5,5.04,,0.0,ACTIVE,,13.055
1,46969787,90.0,6.42,180.0,8.13,,0.0,ACTIVE,,0.521
2,46969788,2.5,5.23,2.62,7.99,2.66,302.6,ACTIVE,,43.478
3,40373068,7.6,5.15,9.6,10.43,8.0,15.7,ACTIVE,,10.0
4,46969789,10.5,6.63,14.0,7.45,12.0,9.09,ACTIVE,,4.762
5,46969790,100.0,14.75,430.0,8.15,,0.0,ACTIVE,,0.521
6,46969791,5.2,7.42,6.6,7.96,5.4,95.98,ACTIVE,,15.723
