,Selection ID,Best Back Price,Best Back Size,Best Lay Price,Best Lay Size,Last Price Traded,Total Matched,Status,Removal Date,Adjustment Factor
3,39700612,17.0,10.18,65.0,5.16,,0.0,ACTIVE,,
4,42946956,4.9,7.78,9.4,12.77,,0.0,ACTIVE,,
0,41890950,4.9,7.66,9.4,12.77,,0.0,ACTIVE,,
1,44887495,2.8,10.84,4.1,11.23,,0.0,ACTIVE,,
2,41788766,2.24,63.75,3.45,8.72,,0.0,ACTIVE,,
3,39700612,17.0,10.18,65.0,5.16,,0.0,ACTIVE,,
4,42946956,4.9,7.78,9.4,12.77,,0.0,ACTIVE,,
0,41890950,4.9,7.66,9.4,12.77,,0.0,ACTIVE,,
1,44887495,2.8,10.84,4.1,42.77,,0.0,ACTIVE,,
2,41788766,2.24,63.75,3.45,8.72,,0.0,ACTIVE,,
3,39700612,17.0,10.18,65.0,5.16,,0.0,ACTIVE,,
4,42946956,4.9,7.78,9.4,12.77,,0.0,ACTIVE,,
0,41890950,4.9,7.66,9.4,12.77,,0.0,ACTIVE,,
1,44887495,2.8,10.84,4.1,42.77,,0.0,ACTIVE,,
2,41788766,2.24,63.75,3.45,8.72,,0.0,ACTIVE,,
3,39700612,17.0,10.18,65.0,5.16,,0.0,ACTIVE,,
4,42946956,4.9,7.78,9.4,12.77,,0.0,ACTIVE,,
0,41890950,4.9,7.66,9.4,12.77,,0.0,ACTIVE,,
1,44887495,2.8,10.84,4.1,42.77,,0.0,ACTIVE,,
2,41788766,2.24,63.75,3.45,8.72,,0.0,ACTIVE,,
3,39700612,17.0,10.18,70.0,8.48,,0.0,ACTIVE,,
4,42946956,4.9,7.78,9.4,12.77,,0.0,ACTIVE,,
0,41890950,4.9,7.66,9.4,12.77,,0.0,ACTIVE,,
1,44887495,2.8,10.84,4.1,42.77,,0.0,ACTIVE,,
2,41788766,2.24,63.75,3.45,8.72,,0.0,ACTIVE,,
3,39700612,17.0,10.18,70.0,8.64,,0.0,ACTIVE,,
4,42946956,4.9,7.78,9.4,12.77,,0.0,ACTIVE,,
0,41890950,4.9,7.66,9.4,12.77,,0.0,ACTIVE,,
1,44887495,2.8,10.84,4.1,42.77,,0.0,ACTIVE,,
2,41788766,2.24,63.75,3.45,8.72,,0.0,ACTIVE,,
3,39700612,17.0,10.18,70.0,8.64,,0.0,ACTIVE,,
4,42946956,4.9,7.78,9.4,12.77,,0.0,ACTIVE,,
0,41890950,4.9,7.66,9.4,12.77,,0.0,ACTIVE,,
1,44887495,2.8,10.84,4.1,42.77,,0.0,ACTIVE,,
2,41788766,2.24,63.75,3.45,8.72,,0.0,ACTIVE,,
3,39700612,17.0,10.18,70.0,8.64,,0.0,ACTIVE,,
4,42946956,4.9,7.78,9.4,12.77,,0.0,ACTIVE,,
0,41890950,4.9,7.66,9.4,12.77,,0.0,ACTIVE,,
1,44887495,2.8,10.84,4.1,42.77,,0.0,ACTIVE,,
2,41788766,2.24,63.75,3.45,8.72,,0.0,ACTIVE,,
3,39700612,17.0,10.18,70.0,8.64,,0.0,ACTIVE,,
4,42946956,4.9,7.78,9.4,12.77,,0.0,ACTIVE,,
0,41890950,4.9,7.66,9.4,12.77,,0.0,ACTIVE,,
1,44887495,2.8,10.84,4.1,42.77,,0.0,ACTIVE,,
2,41788766,2.24,63.75,3.45,8.72,,0.0,ACTIVE,,
3,39700612,17.0,10.18,70.0,8.64,,0.0,ACTIVE,,
4,42946956,4.9,7.78,9.4,12.77,,0.0,ACTIVE,,
0,41890950,4.9,7.66,9.4,12.77,,0.0,ACTIVE,,
1,44887495,2.8,10.84,4.1,42.77,,0.0,ACTIVE,,
2,41788766,2.24,63.75,3.45,8.72,,0.0,ACTIVE,,
3,39700612,17.0,10.18,70.0,8.64,,0.0,ACTIVE,,
4,42946956,4.9,7.78,9.4,12.77,,0.0,ACTIVE,,
0,41890950,4.9,7.66,9.4,12.77,,0.0,ACTIVE,,
1,44887495,2.8,10.84,4.1,42.77,,0.0,ACTIVE,,
2,41788766,2.24,63.75,3.45,8.72,,0.0,ACTIVE,,
3,39700612,17.0,6.7,70.0,5.16,,0.0,ACTIVE,,
4,42946956,4.9,7.78,9.4,12.77,,0.0,ACTIVE,,
0,41890950,4.9,7.66,9.4,12.77,,0.0,ACTIVE,,
1,44887495,2.8,10.84,4.1,42.77,,0.0,ACTIVE,,
2,41788766,2.24,63.75,3.45,8.72,,0.0,ACTIVE,,
3,39700612,17.0,6.7,70.0,5.16,,0.0,ACTIVE,,
4,42946956,4.9,7.78,9.4,12.77,,0.0,ACTIVE,,
0,41890950,4.9,7.66,9.4,12.77,,0.0,ACTIVE,,
1,44887495,2.8,10.84,4.1,42.77,,0.0,ACTIVE,,
2,41788766,2.24,63.75,3.45,8.72,,0.0,ACTIVE,,
3,39700612,17.0,6.7,70.0,5.16,,0.0,ACTIVE,,
4,42946956,4.9,7.78,9.4,12.77,,0.0,ACTIVE,,
0,41890950,4.9,7.66,9.4,12.77,,0.0,ACTIVE,,
1,44887495,2.8,10.84,4.1,42.77,,0.0,ACTIVE,,
2,41788766,2.24,63.75,3.45,8.72,,0.0,ACTIVE,,
3,39700612,17.0,6.7,70.0,5.16,,0.0,ACTIVE,,
4,42946956,4.9,7.78,9.4,12.77,,0.0,ACTIVE,,
0,41890950,4.9,7.66,9.4,12.77,,0.0,ACTIVE,,
1,44887495,2.8,10.84,4.1,42.77,,0.0,ACTIVE,,
2,41788766,2.24,63.75,3.45,8.72,,0.0,ACTIVE,,
3,39700612,17.0,10.18,70.0,8.64,,0.0,ACTIVE,,
4,42946956,4.9,7.78,9.4,12.77,,0.0,ACTIVE,,
0,41890950,4.9,7.66,9.4,12.77,,0.0,ACTIVE,,
1,44887495,2.8,10.84,4.1,42.77,,0.0,ACTIVE,,
2,41788766,2.24,63.75,3.45,8.72,,0.0,ACTIVE,,
3,39700612,17.0,10.18,70.0,8.64,,0.0,ACTIVE,,
4,42946956,4.9,7.78,9.4,12.77,,0.0,ACTIVE,,
0,41890950,4.9,7.66,9.4,12.77,,0.0,ACTIVE,,
1,44887495,2.8,10.84,4.1,42.77,,0.0,ACTIVE,,
2,41788766,2.24,63.75,3.45,8.72,,0.0,ACTIVE,,
3,39700612,17.0,10.18,70.0,8.64,,0.0,ACTIVE,,
4,42946956,4.9,7.78,9.4,12.77,,0.0,ACTIVE,,
0,41890950,4.9,7.66,9.4,12.77,,0.0,ACTIVE,,
1,44887495,2.8,10.84,4.1,42.77,,0.0,ACTIVE,,
2,41788766,2.24,63.75,3.45,8.72,,0.0,ACTIVE,,
3,39700612,17.0,10.18,70.0,8.64,,0.0,ACTIVE,,
4,42946956,4.9,7.78,9.4,12.77,,0.0,ACTIVE,,
0,41890950,4.9,7.66,9.4,12.77,,0.0,ACTIVE,,
1,44887495,2.8,10.84,4.1,42.77,,0.0,ACTIVE,,
2,41788766,2.24,63.75,3.45,8.72,,0.0,ACTIVE,,
3,39700612,17.0,10.18,70.0,8.64,,0.0,ACTIVE,,
4,42946956,4.9,7.78,9.4,12.77,,0.0,ACTIVE,,
0,41890950,4.9,7.66,9.4,12.77,,0.0,ACTIVE,,
1,44887495,2.8,10.84,4.1,42.77,,0.0,ACTIVE,,
2,41788766,2.24,63.75,3.45,8.72,,0.0,ACTIVE,,
3,39700612,17.0,10.18,70.0,8.64,,0.0,ACTIVE,,
4,42946956,4.9,7.78,9.4,12.77,,0.0,ACTIVE,,
0,41890950,4.9,7.66,9.4,12.77,,0.0,ACTIVE,,
1,44887495,2.8,10.84,4.1,42.77,,0.0,ACTIVE,,
2,41788766,2.24,63.75,3.45,8.72,,0.0,ACTIVE,,
3,39700612,17.0,10.18,70.0,8.64,,0.0,ACTIVE,,
4,42946956,4.9,7.78,9.4,12.77,,0.0,ACTIVE,,
0,41890950,4.9,7.66,9.4,12.77,,0.0,ACTIVE,,
1,44887495,2.8,10.84,4.1,42.77,,0.0,ACTIVE,,
2,41788766,2.24,63.75,3.45,8.72,,0.0,ACTIVE,,
3,39700612,17.0,10.18,65.0,5.14,,0.0,ACTIVE,,
4,42946956,4.9,7.78,9.4,12.77,,0.0,ACTIVE,,
0,41890950,4.9,7.66,9.4,12.77,,0.0,ACTIVE,,
1,44887495,2.8,10.84,4.1,42.77,,0.0,ACTIVE,,
2,41788766,2.24,63.75,3.45,8.72,,0.0,ACTIVE,,
3,39700612,17.0,10.18,65.0,5.14,,0.0,ACTIVE,,
4,42946956,4.9,7.78,9.4,12.77,,0.0,ACTIVE,,
0,41890950,4.9,7.66,9.4,12.77,,0.0,ACTIVE,,
1,44887495,2.8,10.84,4.1,11.23,,0.0,ACTIVE,,
2,41788766,2.24,63.75,3.45,8.72,,0.0,ACTIVE,,
3,39700612,17.0,10.18,65.0,13.62,,0.0,ACTIVE,,
4,42946956,4.9,7.78,9.4,12.77,,0.0,ACTIVE,,
0,41890950,4.9,7.66,9.4,12.77,,0.0,ACTIVE,,
1,44887495,2.8,10.84,4.1,11.23,,0.0,ACTIVE,,
2,41788766,2.24,63.75,3.45,8.72,,0.0,ACTIVE,,
3,39700612,17.0,10.18,65.0,13.62,,0.0,ACTIVE,,
4,42946956,4.9,7.78,9.4,12.77,,0.0,ACTIVE,,
0,41890950,4.9,7.66,9.4,12.77,,0.0,ACTIVE,,
1,44887495,2.8,10.84,4.1,11.23,,0.0,ACTIVE,,
2,41788766,2.24,63.75,3.45,8.72,,0.0,ACTIVE,,
3,39700612,17.0,10.18,65.0,8.62,,0.0,ACTIVE,,
4,42946956,4.9,7.78,9.4,12.77,,0.0,ACTIVE,,
0,41890950,4.9,7.66,9.4,12.77,,0.0,ACTIVE,,
1,44887495,2.8,10.84,4.1,11.23,,0.0,ACTIVE,,
2,41788766,2.24,63.75,3.45,8.72,,0.0,ACTIVE,,
3,39700612,17.0,10.18,65.0,8.62,,0.0,ACTIVE,,
4,42946956,4.9,7.78,9.4,12.77,,0.0,ACTIVE,,
0,41890950,4.9,7.66,9.4,12.77,,0.0,ACTIVE,,
1,44887495,2.8,10.84,4.1,11.23,,0.0,ACTIVE,,
2,41788766,2.24,63.75,3.45,8.72,,0.0,ACTIVE,,
3,39700612,17.0,10.18,65.0,8.62,,0.0,ACTIVE,,
4,42946956,4.9,7.78,9.4,12.77,,0.0,ACTIVE,,
0,41890950,4.9,7.66,9.4,12.77,,0.0,ACTIVE,,
1,44887495,2.8,10.84,4.1,11.23,,0.0,ACTIVE,,
2,41788766,2.24,63.75,3.45,8.72,,0.0,ACTIVE,,
3,39700612,17.0,10.18,65.0,8.62,,0.0,ACTIVE,,
4,42946956,4.9,7.78,9.4,12.77,,0.0,ACTIVE,,
0,41890950,4.9,7.66,9.4,12.77,,0.0,ACTIVE,,
1,44887495,2.8,10.84,4.1,11.23,,0.0,ACTIVE,,
2,41788766,2.24,63.75,3.45,8.72,,0.0,ACTIVE,,
3,39700612,17.0,10.18,65.0,8.62,,0.0,ACTIVE,,
4,42946956,4.9,7.78,9.4,12.77,,0.0,ACTIVE,,
0,41890950,4.9,7.64,9.4,12.77,,0.0,ACTIVE,,
1,44887495,2.8,10.84,4.1,11.23,,0.0,ACTIVE,,
2,41788766,2.24,63.69,3.45,8.72,,0.0,ACTIVE,,
3,39700612,17.0,10.18,65.0,8.62,,0.0,ACTIVE,,
4,42946956,4.9,7.76,9.4,12.77,,0.0,ACTIVE,,
0,41890950,4.9,7.64,9.4,12.77,,0.0,ACTIVE,,
1,44887495,2.8,10.84,4.1,11.23,,0.0,ACTIVE,,
2,41788766,2.24,63.69,3.45,8.72,,0.0,ACTIVE,,
3,39700612,17.0,10.18,65.0,8.62,,0.0,ACTIVE,,
4,42946956,4.9,7.76,9.4,12.77,,0.0,ACTIVE,,
0,41890950,4.9,7.64,9.4,12.77,,0.0,ACTIVE,,
1,44887495,2.8,10.84,4.1,11.23,,0.0,ACTIVE,,
2,41788766,2.24,63.69,3.45,8.72,,0.0,ACTIVE,,
3,39700612,17.0,6.7,65.0,5.14,,0.0,ACTIVE,,
4,42946956,4.9,7.76,9.4,12.77,,0.0,ACTIVE,,
0,41890950,4.9,7.64,9.4,12.77,,0.0,ACTIVE,,
1,44887495,2.8,10.84,4.1,11.23,,0.0,ACTIVE,,
2,41788766,2.24,63.69,3.45,8.72,,0.0,ACTIVE,,
3,39700612,17.0,6.7,65.0,5.14,,0.0,ACTIVE,,
4,42946956,4.9,7.76,9.4,12.77,,0.0,ACTIVE,,
0,41890950,4.9,7.64,9.4,12.77,,0.0,ACTIVE,,
1,44887495,2.8,10.84,4.1,11.23,,0.0,ACTIVE,,
2,41788766,2.24,63.69,3.45,8.72,,0.0,ACTIVE,,
3,39700612,17.0,6.7,65.0,5.14,,0.0,ACTIVE,,
4,42946956,4.9,7.76,9.4,12.77,,0.0,ACTIVE,,
0,41890950,4.9,7.64,9.4,12.77,,0.0,ACTIVE,,
1,44887495,2.8,10.84,4.1,11.23,,0.0,ACTIVE,,
2,41788766,2.24,63.69,3.45,8.72,,0.0,ACTIVE,,
3,39700612,17.0,6.7,65.0,5.14,,0.0,ACTIVE,,
4,42946956,4.9,7.76,9.4,12.77,,0.0,ACTIVE,,
0,41890950,4.9,7.64,9.4,12.77,,0.0,ACTIVE,,
1,44887495,2.8,10.84,4.1,11.23,,0.0,ACTIVE,,
2,41788766,2.24,63.69,3.45,8.72,,0.0,ACTIVE,,
3,39700612,17.0,6.7,65.0,5.14,,0.0,ACTIVE,,
4,42946956,4.9,7.76,9.4,12.77,,0.0,ACTIVE,,
0,41890950,4.9,7.64,9.4,12.77,,0.0,ACTIVE,,
1,44887495,2.8,10.84,4.1,11.23,,0.0,ACTIVE,,
2,41788766,2.24,63.69,3.45,8.72,,0.0,ACTIVE,,
3,39700612,17.0,6.7,65.0,5.14,,0.0,ACTIVE,,
4,42946956,4.9,7.76,9.4,12.77,,0.0,ACTIVE,,
0,41890950,4.9,7.64,9.4,12.77,,0.0,ACTIVE,,
1,44887495,2.8,10.84,4.1,11.23,,0.0,ACTIVE,,
2,41788766,2.24,63.69,3.45,8.72,,0.0,ACTIVE,,
3,39700612,17.0,6.7,65.0,5.14,,0.0,ACTIVE,,
4,42946956,4.9,7.76,9.4,12.77,,0.0,ACTIVE,,
0,41890950,4.9,7.64,9.4,12.77,,0.0,ACTIVE,,
1,44887495,2.8,10.84,4.1,11.23,,0.0,ACTIVE,,
2,41788766,2.24,63.69,3.45,8.72,,0.0,ACTIVE,,
3,39700612,17.0,6.7,65.0,5.14,,0.0,ACTIVE,,
4,42946956,4.9,7.76,9.4,12.77,,0.0,ACTIVE,,
0,41890950,4.9,7.64,9.4,12.77,,0.0,ACTIVE,,
1,44887495,2.8,10.84,4.1,11.23,,0.0,ACTIVE,,
2,41788766,2.24,63.69,3.45,8.72,,0.0,ACTIVE,,
3,39700612,17.0,6.7,65.0,5.14,,0.0,ACTIVE,,
4,42946956,4.9,7.76,9.4,12.77,,0.0,ACTIVE,,
0,41890950,4.9,7.64,9.4,12.77,,0.0,ACTIVE,,
1,44887495,2.8,10.84,4.1,11.23,,0.0,ACTIVE,,
2,41788766,2.24,63.69,3.45,8.72,,0.0,ACTIVE,,
3,39700612,17.0,6.7,65.0,5.14,,0.0,ACTIVE,,
4,42946956,4.9,7.76,9.4,12.77,,0.0,ACTIVE,,
0,41890950,4.9,7.64,9.4,12.77,,0.0,ACTIVE,,
1,44887495,2.8,10.84,4.1,11.23,,0.0,ACTIVE,,
2,41788766,2.24,63.69,3.45,8.72,,0.0,ACTIVE,,
3,39700612,17.0,6.7,65.0,5.14,,0.0,ACTIVE,,
4,42946956,4.9,7.76,9.4,12.77,,0.0,ACTIVE,,
0,41890950,4.9,7.64,9.4,12.77,,0.0,ACTIVE,,
1,44887495,2.8,10.84,4.1,11.23,,0.0,ACTIVE,,
2,41788766,2.24,63.69,3.45,8.72,,0.0,ACTIVE,,
3,39700612,17.0,6.7,65.0,5.14,,0.0,ACTIVE,,
4,42946956,4.9,7.76,9.4,12.77,,0.0,ACTIVE,,
0,41890950,4.9,7.64,9.4,12.77,,0.0,ACTIVE,,
1,44887495,2.8,10.84,4.1,11.23,,0.0,ACTIVE,,
2,41788766,2.24,63.69,3.45,8.72,,0.0,ACTIVE,,
3,39700612,17.0,6.7,65.0,5.14,,0.0,ACTIVE,,
4,42946956,4.9,7.76,9.4,12.77,,0.0,ACTIVE,,
0,41890950,4.9,7.64,9.4,12.77,,0.0,ACTIVE,,
1,44887495,2.8,10.84,4.1,11.23,,0.0,ACTIVE,,
2,41788766,2.24,63.69,3.45,8.72,,0.0,ACTIVE,,
3,39700612,17.0,6.7,65.0,5.14,,0.0,ACTIVE,,
4,42946956,4.9,7.76,9.4,12.77,,0.0,ACTIVE,,
0,41890950,4.9,7.64,9.4,12.77,,0.0,ACTIVE,,
1,44887495,2.8,10.84,4.1,11.23,,0.0,ACTIVE,,
2,41788766,2.24,63.69,3.45,8.72,,0.0,ACTIVE,,
3,39700612,17.0,6.7,65.0,5.14,,0.0,ACTIVE,,
4,42946956,4.9,7.76,9.4,12.77,,0.0,ACTIVE,,
0,41890950,4.9,7.64,9.4,12.77,,0.0,ACTIVE,,
1,44887495,2.8,10.84,4.1,11.23,,0.0,ACTIVE,,
2,41788766,2.24,63.69,3.45,8.72,,0.0,ACTIVE,,
3,39700612,17.0,6.7,65.0,5.14,,0.0,ACTIVE,,
4,42946956,4.9,7.76,9.4,12.77,,0.0,ACTIVE,,
0,41890950,4.9,7.64,9.4,12.77,,0.0,ACTIVE,,
1,44887495,2.8,10.84,4.1,11.23,,0.0,ACTIVE,,
2,41788766,2.24,63.69,3.45,8.72,,0.0,ACTIVE,,
3,39700612,17.0,6.7,65.0,5.14,,0.0,ACTIVE,,
4,42946956,4.9,7.76,9.4,12.77,,0.0,ACTIVE,,
0,41890950,4.9,7.64,9.4,12.77,,0.0,ACTIVE,,
1,44887495,2.8,10.84,4.1,11.23,,0.0,ACTIVE,,
2,41788766,2.24,63.69,3.45,8.72,,0.0,ACTIVE,,
3,39700612,17.0,6.7,65.0,5.14,,0.0,ACTIVE,,
4,42946956,4.9,7.76,9.4,12.77,,0.0,ACTIVE,,
0,41890950,4.9,7.64,9.4,12.77,,0.0,ACTIVE,,
1,44887495,2.8,10.84,4.1,11.23,,0.0,ACTIVE,,
2,41788766,2.24,63.69,3.45,8.72,,0.0,ACTIVE,,
3,39700612,17.0,6.7,65.0,5.14,,0.0,ACTIVE,,
4,42946956,4.9,7.76,9.4,12.77,,0.0,ACTIVE,,
0,41890950,4.9,7.64,9.4,12.77,,0.0,ACTIVE,,
1,44887495,2.8,10.84,4.1,11.23,,0.0,ACTIVE,,
2,41788766,2.24,63.69,3.45,8.72,,0.0,ACTIVE,,
3,39700612,17.0,6.7,65.0,5.14,,0.0,ACTIVE,,
4,42946956,4.9,7.76,9.4,12.77,,0.0,ACTIVE,,
0,41890950,4.9,7.64,9.4,12.77,,0.0,ACTIVE,,
1,44887495,2.8,10.84,4.2,31.54,,0.0,ACTIVE,,
2,41788766,2.24,63.69,3.45,8.72,,0.0,ACTIVE,,
3,39700612,17.0,6.7,65.0,5.14,,0.0,ACTIVE,,
4,42946956,4.9,7.76,9.4,12.77,,0.0,ACTIVE,,
0,41890950,4.9,7.64,9.4,12.77,,0.0,ACTIVE,,
1,44887495,2.8,10.84,4.2,31.54,,0.0,ACTIVE,,
2,41788766,2.24,63.69,3.45,8.72,,0.0,ACTIVE,,
3,39700612,17.0,6.7,65.0,5.14,,0.0,ACTIVE,,
4,42946956,4.9,7.76,9.4,12.77,,0.0,ACTIVE,,
0,41890950,4.9,7.64,9.4,12.77,,0.0,ACTIVE,,
1,44887495,2.8,10.84,4.2,31.54,,0.0,ACTIVE,,
2,41788766,2.24,63.69,3.45,15.78,,0.0,ACTIVE,,
3,39700612,17.0,6.7,65.0,5.14,,0.0,ACTIVE,,
4,42946956,4.9,7.76,9.4,12.77,,0.0,ACTIVE,,
0,41890950,4.9,7.64,9.4,12.77,,0.0,ACTIVE,,
1,44887495,2.8,10.84,4.2,31.54,,0.0,ACTIVE,,
2,41788766,2.24,63.69,3.45,15.78,,0.0,ACTIVE,,
3,39700612,17.0,6.7,65.0,5.14,,0.0,ACTIVE,,
4,42946956,4.9,7.76,9.4,12.77,,0.0,ACTIVE,,
0,41890950,4.9,7.64,9.4,12.77,,0.0,ACTIVE,,
1,44887495,2.8,10.84,4.2,31.54,,0.0,ACTIVE,,
2,41788766,2.24,63.69,3.45,15.78,,0.0,ACTIVE,,
3,39700612,17.0,6.7,65.0,5.14,,0.0,ACTIVE,,
4,42946956,4.9,7.76,9.4,12.77,,0.0,ACTIVE,,
0,41890950,4.9,7.64,9.4,12.77,,0.0,ACTIVE,,
1,44887495,2.8,10.84,4.2,31.54,,0.0,ACTIVE,,
2,41788766,2.24,63.69,3.45,25.36,,0.0,ACTIVE,,
3,39700612,17.0,6.7,65.0,5.14,,0.0,ACTIVE,,
4,42946956,4.9,7.76,9.4,12.77,,0.0,ACTIVE,,
0,41890950,4.9,7.64,9.4,12.77,,0.0,ACTIVE,,
1,44887495,2.8,10.84,4.2,31.54,,0.0,ACTIVE,,
2,41788766,2.24,63.69,3.45,25.36,,0.0,ACTIVE,,
3,39700612,17.0,6.7,65.0,5.14,,0.0,ACTIVE,,
4,42946956,4.9,7.76,9.4,12.77,,0.0,ACTIVE,,
0,41890950,4.9,7.64,9.4,12.77,,0.0,ACTIVE,,
1,44887495,2.8,10.84,4.2,31.54,,0.0,ACTIVE,,
2,41788766,2.24,63.69,3.45,25.36,,0.0,ACTIVE,,
3,39700612,17.0,6.7,65.0,5.14,,0.0,ACTIVE,,
4,42946956,4.9,7.76,9.4,12.77,,0.0,ACTIVE,,
0,41890950,4.9,7.64,9.4,12.77,,0.0,ACTIVE,,
1,44887495,2.8,10.84,4.2,31.54,,0.0,ACTIVE,,
2,41788766,2.24,63.69,3.45,25.36,,0.0,ACTIVE,,
3,39700612,17.0,6.7,65.0,5.14,,0.0,ACTIVE,,
4,42946956,4.9,7.76,9.4,12.77,,0.0,ACTIVE,,
0,41890950,4.9,7.64,9.4,12.77,,0.0,ACTIVE,,
1,44887495,2.8,10.84,4.2,31.54,,0.0,ACTIVE,,
2,41788766,2.24,63.69,3.45,25.36,,0.0,ACTIVE,,
3,39700612,17.0,6.7,65.0,5.14,,0.0,ACTIVE,,
4,42946956,4.9,7.76,9.4,12.77,,0.0,ACTIVE,,
0,41890950,4.9,7.64,9.4,12.77,,0.0,ACTIVE,,
1,44887495,2.8,10.84,4.2,31.54,,0.0,ACTIVE,,
2,41788766,2.24,63.69,3.45,25.36,,0.0,ACTIVE,,
3,39700612,17.0,6.7,65.0,5.14,,0.0,ACTIVE,,
4,42946956,4.9,7.76,9.4,12.77,,0.0,ACTIVE,,
0,41890950,4.9,7.64,9.4,12.77,,0.0,ACTIVE,,
1,44887495,2.8,10.84,4.2,31.54,,0.0,ACTIVE,,
2,41788766,2.24,63.69,3.45,25.36,,0.0,ACTIVE,,
3,39700612,17.0,6.7,65.0,5.14,,0.0,ACTIVE,,
4,42946956,4.9,7.76,9.4,12.77,,0.0,ACTIVE,,
0,41890950,4.9,7.64,9.4,12.77,,0.0,ACTIVE,,
1,44887495,2.8,10.84,4.2,31.54,,0.0,ACTIVE,,
2,41788766,2.24,63.69,3.45,25.36,,0.0,ACTIVE,,
3,39700612,17.0,6.7,65.0,5.14,,0.0,ACTIVE,,
4,42946956,4.9,7.76,9.4,12.77,,0.0,ACTIVE,,
0,41890950,4.9,7.64,9.4,12.77,,0.0,ACTIVE,,
1,44887495,2.8,10.84,4.2,31.54,,0.0,ACTIVE,,
2,41788766,2.24,63.69,3.45,25.36,,0.0,ACTIVE,,
3,39700612,17.0,6.7,65.0,5.14,,0.0,ACTIVE,,
4,42946956,4.9,7.76,9.4,12.77,,0.0,ACTIVE,,
0,41890950,4.9,7.64,9.4,12.77,,0.0,ACTIVE,,
1,44887495,2.8,10.84,4.2,31.54,,0.0,ACTIVE,,
2,41788766,2.24,63.69,3.45,25.36,,0.0,ACTIVE,,
3,39700612,17.0,10.18,65.0,8.48,,0.0,ACTIVE,,
4,42946956,4.9,7.76,9.4,12.77,,0.0,ACTIVE,,
0,41890950,4.9,7.64,9.4,12.77,,0.0,ACTIVE,,
1,44887495,2.8,10.84,4.2,31.54,,0.0,ACTIVE,,
2,41788766,2.24,63.69,3.45,25.36,,0.0,ACTIVE,,
3,39700612,17.0,10.18,80.0,5.14,,0.0,ACTIVE,,
4,42946956,4.9,7.76,9.4,12.77,,0.0,ACTIVE,,
0,41890950,4.9,7.64,9.4,12.77,,0.0,ACTIVE,,
1,44887495,2.8,10.84,4.2,31.54,,0.0,ACTIVE,,
2,41788766,2.24,63.69,3.45,25.36,,0.0,ACTIVE,,
3,39700612,17.0,10.18,65.0,8.48,,0.0,ACTIVE,,
4,42946956,4.9,7.76,9.4,12.77,,0.0,ACTIVE,,
0,41890950,4.9,7.64,9.4,12.77,,0.0,ACTIVE,,
1,44887495,2.8,10.84,4.2,31.54,,0.0,ACTIVE,,
2,41788766,2.24,63.69,3.45,25.36,,0.0,ACTIVE,,
3,39700612,17.0,10.18,65.0,8.48,,0.0,ACTIVE,,
4,42946956,4.9,7.76,9.4,12.77,,0.0,ACTIVE,,
0,41890950,4.9,7.64,9.4,12.77,,0.0,ACTIVE,,
1,44887495,2.8,10.84,4.2,31.54,,0.0,ACTIVE,,
2,41788766,2.24,63.69,3.45,25.36,,0.0,ACTIVE,,
3,39700612,17.0,10.18,65.0,8.48,,0.0,ACTIVE,,
4,42946956,4.9,7.76,9.4,12.77,,0.0,ACTIVE,,
